event_id,host_id,generated_time,delivery_time,latency,event_type,event_score,is_synthetic_flood,true_state_at_generated_time,true_state_at_delivery_time,true_compromised_at_delivery_time,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta,belief_error_before,belief_error_after,belief_error_delta,usefulness_label
event_000001,host_031,0,0,0,endpoint_alert,0.6719991164520286,False,compromised,compromised,1,0.05,0.39799977911300716,0.34799977911300717,0.28639695711595625,0.9697685084077845,0.6833715512918282,0.95,0.6020002208869928,-0.34799977911300717,useful
event_000002,host_036,0,0,0,network_alert,0.8661007387608547,False,compromised,compromised,1,0.05,0.38652518469021363,0.33652518469021364,0.28639695711595625,0.9625204774002205,0.6761235202842643,0.95,0.6134748153097864,-0.33652518469021353,useful
flood_event_006591,host_038,0,0,0,low_value_network_alert,0.08669321344600245,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_007866,host_038,0,0,0,low_value_network_alert,0.18879507344771967,True,benign,benign,0,0.010000000000000002,0.001,-0.009000000000000001,0.0807931358959112,0.011407757737461138,-0.06938537815845006,0.010000000000000002,0.001,-0.009000000000000001,flood
flood_event_010047,host_038,0,0,0,low_value_network_alert,0.060053133421932775,True,benign,benign,0,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0,0.001,0.001,0.0,flood
flood_event_004669,host_039,0,0,0,low_value_network_alert,0.1124090566600638,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_004673,host_040,0,0,0,low_value_network_alert,0.21669866174012675,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
event_000003,host_045,0,0,0,network_alert,0.24945525697760965,False,benign,benign,0,0.05,0.2323638142444024,0.1823638142444024,0.28639695711595625,0.7821092580413247,0.49571230092536844,0.05,0.2323638142444024,0.1823638142444024,misleading
flood_event_000352,host_047,0,0,0,low_value_network_alert,0.16229787888287694,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
event_000004,host_049,0,0,0,auth_alert,0.6435214279436698,False,compromised,compromised,1,0.05,0.29088035698591747,0.24088035698591748,0.28639695711595625,0.8698557480683076,0.5834587909523513,0.95,0.7091196430140825,-0.24088035698591748,useful
flood_event_001685,host_003,1,1,0,low_value_network_alert,0.05726113522089504,True,benign,benign,0,0.05,0.010000000000000002,-0.04,0.28639695711595625,0.0807931358959112,-0.20560382122004506,0.05,0.010000000000000002,-0.04,flood
flood_event_003502,host_003,1,1,0,low_value_network_alert,0.14089234563283937,True,benign,benign,0,0.010000000000000002,0.001,-0.009000000000000001,0.0807931358959112,0.011407757737461138,-0.06938537815845006,0.010000000000000002,0.001,-0.009000000000000001,flood
flood_event_010020,host_003,1,1,0,low_value_network_alert,0.07043338489441174,True,benign,benign,0,0.001,0.001,0.0,0.011407757737461138,0.011407757737461138,0.0,0.001,0.001,0.0,flood
