event_id,host_id,generated_time,delivery_time,latency,event_type,event_score,is_synthetic_flood,true_state_at_generated_time,true_state_at_delivery_time,true_compromised_at_delivery_time,belief_before,belief_after,belief_delta,entropy_before,entropy_after,entropy_delta,belief_error_before,belief_error_after,belief_error_delta,usefulness_label
event_000089,host_018,12,12,0,auth_alert,0.26755499625526064,False,benign,benign,0,0.28845495350877837,0.4353437025725935,0.14688874906381516,0.8667170356282583,0.9879039654224413,0.121186929794183,0.28845495350877837,0.4353437025725935,0.14688874906381516,misleading
event_000091,host_025,12,12,0,endpoint_alert,0.97687430085291,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000092,host_026,12,12,0,auth_alert,0.34792537457915196,False,benign,benign,0,0.27874129155526534,0.44572263520005334,0.166981343644788,0.8537300579169034,0.9914827732684268,0.13775271535152345,0.27874129155526534,0.44572263520005334,0.166981343644788,misleading
event_000093,host_027,12,12,0,auth_alert,0.9409748359065556,False,compromised,compromised,1,0.9637281370754653,0.999,0.03527186292453466,0.22492956808732056,0.011407757737461145,-0.21352181034985943,0.03627186292453466,0.0010000000000000009,-0.03527186292453466,useful
event_000094,host_031,12,12,0,auth_alert,0.8259356913785284,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000095,host_035,12,12,0,endpoint_alert,0.6878866050810039,False,compromised,compromised,1,0.5975002879408474,0.9494719392110984,0.351971651270251,0.9723940644529796,0.2886359004564684,-0.6837581639965111,0.4024997120591526,0.050528060788901596,-0.351971651270251,useful
event_000096,host_038,12,12,0,endpoint_alert,0.7505432700225145,False,compromised,compromised,1,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418,0.01988509999999999,0.0010000000000000009,-0.018885099999999988,useful
event_000097,host_046,12,12,0,network_alert,0.20606902011379816,False,benign,benign,0,0.05,0.22151725502844954,0.17151725502844956,0.28639695711595625,0.7629283048655597,0.4765313477496035,0.05,0.22151725502844954,0.17151725502844956,misleading
noise_event_000445,host_049,12,12,0,network_alert,0.21783478265908032,False,compromised,compromised,1,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418,0.01988509999999999,0.0010000000000000009,-0.018885099999999988,useful
event_000099,host_011,13,13,0,network_alert,0.8778316711280623,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000100,host_013,13,13,0,auth_alert,0.9435098505336552,False,compromised,compromised,1,0.6154061326868526,0.9312835953202665,0.3158774626334139,0.9612220130336805,0.3611151641420376,-0.6001068488916429,0.3845938673131474,0.0687164046797335,-0.3158774626334139,useful
event_000101,host_019,13,13,0,network_alert,0.7433149785351586,False,compromised,compromised,1,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617,0.029186248999999997,0.0010000000000000009,-0.028186248999999997,useful
noise_event_000023,host_021,13,13,0,auth_alert,0.30724648871628335,False,compromised,compromised,1,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418,0.01988509999999999,0.0010000000000000009,-0.018885099999999988,useful
event_000102,host_025,13,13,0,endpoint_alert,0.8286744072297292,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000103,host_027,13,13,0,auth_alert,0.7433382734955415,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000104,host_029,13,13,0,auth_alert,0.5738248293574708,False,suspicious,suspicious,0,0.28489960580040996,0.5083558131397776,0.22345620733936766,0.8620412730320971,0.9997985338023423,0.1377572607702452,0.28489960580040996,0.5083558131397776,0.22345620733936766,misleading
event_000105,host_036,13,13,0,endpoint_alert,0.6705911312510131,False,compromised,compromised,1,0.9801149,0.999,0.018885099999999988,0.14079492558718532,0.011407757737461145,-0.12938716784972418,0.01988509999999999,0.0010000000000000009,-0.018885099999999988,useful
event_000106,host_038,13,13,0,endpoint_alert,0.617165784455982,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
event_000107,host_004,14,14,0,endpoint_alert,0.6368515977080821,False,compromised,compromised,1,0.970813751,0.999,0.028186248999999997,0.19029437640122285,0.011407757737461145,-0.1788866186637617,0.029186248999999997,0.0010000000000000009,-0.028186248999999997,useful
noise_event_000065,host_005,14,14,0,network_alert,0.2827495065231506,False,benign,benign,0,0.3658840303872135,0.5565714070180012,0.19068737663078772,0.9474592348714073,0.990746013440357,0.04328677856894969,0.3658840303872135,0.5565714070180012,0.19068737663078772,misleading
event_000109,host_013,14,14,0,endpoint_alert,0.8888056892627332,False,compromised,compromised,1,0.9224707593670638,0.999,0.0765292406329362,0.39341291399241485,0.011407757737461145,-0.3820051562549537,0.0775292406329362,0.0010000000000000009,-0.0765292406329362,useful
noise_event_000086,host_016,14,14,0,endpoint_alert,0.21188294866948043,False,benign,benign,0,0.05,0.2829707371673701,0.2329707371673701,0.28639695711595625,0.859467138092717,0.5730701809767608,0.05,0.2829707371673701,0.2329707371673701,misleading
event_000110,host_019,14,14,0,endpoint_alert,0.9216618437058236,False,compromised,compromised,1,0.98951,0.999,0.009489999999999998,0.08402430226459584,0.011407757737461145,-0.0726165445271347,0.01049,0.0010000000000000009,-0.009489999999999998,useful
