time,host_id,belief_compromised,belief_entropy,true_state,true_compromised,belief_error
79,host_028,0.8389999999999999,0.6366965139166224,compromised,1,0.16100000000000014
79,host_029,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_030,0.959,0.24685851466035832,compromised,1,0.041000000000000036
79,host_031,0.7989999999999998,0.7239235920856693,compromised,1,0.20100000000000018
79,host_032,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_033,0.001,0.011407757737461138,benign,0,0.001
79,host_034,0.7511099999999998,0.809514071275445,compromised,1,0.24889000000000017
79,host_035,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
79,host_036,0.959,0.24685851466035832,compromised,1,0.041000000000000036
79,host_037,0.05,0.28639695711595625,benign,0,0.05
79,host_038,0.8303099999999999,0.6569951384702117,compromised,1,0.16969000000000012
79,host_039,0.5437068999999997,0.9944810180555363,compromised,1,0.45629310000000034
79,host_040,0.8311099999999999,0.6551592589079919,compromised,1,0.1688900000000001
79,host_041,0.7589999999999998,0.7966992933903277,compromised,1,0.24100000000000021
79,host_042,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_043,0.9189999999999999,0.40569298829381,compromised,1,0.08100000000000007
79,host_044,0.9189999999999999,0.40569298829381,compromised,1,0.08100000000000007
79,host_045,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_046,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_047,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
79,host_048,0.7813108999999998,0.7577666039555795,compromised,1,0.2186891000000002
79,host_049,0.8389999999999999,0.6366965139166224,compromised,1,0.16100000000000014
80,host_000,0.6711099999999998,0.9137882691828436,compromised,1,0.32889000000000024
80,host_001,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
80,host_002,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
80,host_003,0.7589999999999998,0.7966992933903277,compromised,1,0.24100000000000021
80,host_004,0.9189999999999999,0.40569298829381,compromised,1,0.08100000000000007
80,host_005,0.6640988999999997,0.920842225360941,compromised,1,0.3359011000000003
80,host_006,0.7589999999999998,0.7966992933903277,compromised,1,0.24100000000000021
80,host_007,0.4523032473540191,0.9934258026165788,compromised,1,0.5476967526459808
80,host_008,0.7989999999999998,0.7239235920856693,compromised,1,0.20100000000000018
80,host_009,0.001,0.011407757737461138,benign,0,0.001
80,host_010,0.8695099999999999,0.5587804821637008,compromised,1,0.1304900000000001
80,host_011,0.7323592374452682,0.8380588709071933,compromised,1,0.2676407625547318
80,host_012,0.8356510554279711,0.644612833662307,compromised,1,0.16434894457202887
80,host_013,0.8789999999999999,0.5322285197808092,compromised,1,0.12100000000000011
80,host_014,0.959,0.24685851466035832,compromised,1,0.041000000000000036
80,host_015,0.7189999999999998,0.8568098051241521,compromised,1,0.28100000000000025
80,host_016,0.7191519428561023,0.8566037760527826,compromised,1,0.2808480571438977
80,host_017,0.6237028999999996,0.9553847451612957,compromised,1,0.3762971000000004
80,host_018,0.91031,0.43543423018254157,compromised,1,0.08969000000000005
80,host_019,0.38758037192303946,0.9632203122027875,compromised,1,0.6124196280769605
80,host_020,0.3487927358419037,0.9329852423135081,compromised,1,0.6512072641580964
80,host_021,0.959,0.24685851466035832,compromised,1,0.041000000000000036
80,host_022,0.7107099999999997,0.8678023254794553,compromised,1,0.28929000000000027
80,host_023,0.999,0.011407757737461145,compromised,1,0.0010000000000000009
80,host_024,0.4150428483072794,0.979072683204502,compromised,1,0.5849571516927206
80,host_025,0.7589999999999998,0.7966992933903277,compromised,1,0.24100000000000021
